,Nationality,Count
0,American,73
1,"American, Irish",1
2,Australian,4
3,Austrian,1
4,"Austrian,American",1
5,Belgian,3
6,Canadian,18
7,Channel Islander,15
8,Croatian,6
9,Danish,7
10,"Danish,American",1
11,Dutch,2
12,English,644
13,"English,American",2
14,"English,Canadian",1
15,"English,Peruvian",1
16,English-Argentinian,1
17,Finnish,21
18,French,14
19,German,3
20,Guyanese,1
21,Hungarian,1
22,Irish,110
23,"Irish,American",1
24,Italian,18
25,Latvian,1
26,Lithuanian,2
27,Norwegian,14
28,Polish,3
29,Portuguese,1
30,Russian,2
31,Scottish,31
32,Slovakian,1
33,South African,2
34,Spanish,1
35,Swedish,52
36,"Swedish,American",2
37,Swiss,5
38,Syrian,54
39,"Syrian,American",1
40,Unknown,352
41,Uruguayan,3
42,Welsh,19
